entity,fact,text
Bromodeoxyuridine,"Bromodeoxyuridine (BU) is used in a selection system to increase the frequency of transversion (ts) mutants in bacterial populations, with BU-treated populations showing more than 10-fold higher frequencies of ts mutants compared to untreated populations.","Entity: Bromodeoxyuridine. SMILES: O=c1ccn([C@@]2(Br)C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1. Bromodeoxyuridine (BU) is used in a selection system to increase the frequency of transversion (ts) mutants in bacterial populations, with BU-treated populations showing more than 10-fold higher frequencies of ts mutants compared to untreated populations."
n-methyl-n'-nitro-n-nitrosoguanidine,n-methyl-n'-nitro-n-nitrosoguanidine is a chemical mutagen used at a concentration of 75 pg/ml for 45 minutes in mutagenesis experiments.,Entity: n-methyl-n'-nitro-n-nitrosoguanidine. SMILES: CN(N=O)C(=N)N[N+](=O)[O-]. n-methyl-n'-nitro-n-nitrosoguanidine is a chemical mutagen used at a concentration of 75 pg/ml for 45 minutes in mutagenesis experiments.
bile acid,Bile acids can obstruct the biliary tract in newborn rabbits when administered intravenously to the mother.,Entity: bile acid. SMILES: CC(CCC(=O)O)C1CCC2C3C(C[C@H](O)C12C)C1(C)CC[C@@H](O)C[C@H]1C[C@H]3O. Bile acids can obstruct the biliary tract in newborn rabbits when administered intravenously to the mother.
lithocholic acid,Lithocholic acid is a bile acid that can induce obstruction within the biliary tract of newborn rabbits when administered intravenously to the mother.,Entity: lithocholic acid. SMILES: C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C. Lithocholic acid is a bile acid that can induce obstruction within the biliary tract of newborn rabbits when administered intravenously to the mother.
Benzoyl peroxide,"Benzoyl peroxide is a powerful organic oxidizing agent used topically to treat cutaneous ulcers, including deep, complex ulcers resistant to other therapies.","Entity: Benzoyl peroxide. SMILES: O=C(OOC(=O)c1ccccc1)c1ccccc1. Benzoyl peroxide is a powerful organic oxidizing agent used topically to treat cutaneous ulcers, including deep, complex ulcers resistant to other therapies."
Benzoyl peroxide,Benzoyl peroxide accelerates healing in cutaneous ulcers by promoting rapid development of healthy granulation tissue and epithelial ingrowth.,Entity: Benzoyl peroxide. SMILES: O=C(OOC(=O)c1ccccc1)c1ccccc1. Benzoyl peroxide accelerates healing in cutaneous ulcers by promoting rapid development of healthy granulation tissue and epithelial ingrowth.
Benzoyl peroxide,"The slow, sustained release of oxygen by benzoyl peroxide is thought to be responsible for its therapeutic effect in cutaneous ulcer healing.","Entity: Benzoyl peroxide. SMILES: O=C(OOC(=O)c1ccccc1)c1ccccc1. The slow, sustained release of oxygen by benzoyl peroxide is thought to be responsible for its therapeutic effect in cutaneous ulcer healing."
Benzoyl peroxide,Topical benzoyl peroxide treatment of cutaneous ulcers is associated with contact irritant dermatitis in 3% and contact allergic dermatitis in 2% of patients.,Entity: Benzoyl peroxide. SMILES: O=C(OOC(=O)c1ccccc1)c1ccccc1. Topical benzoyl peroxide treatment of cutaneous ulcers is associated with contact irritant dermatitis in 3% and contact allergic dermatitis in 2% of patients.
epinephrine,"Epinephrine at 5 pM induces a second wave of platelet aggregation in 35% of normal controls and 85% of leukemic patients, and this response is not altered by co-administration of CA.","Entity: epinephrine. SMILES: CNC[C@H](O)c1ccc(O)c(O)c1. Epinephrine at 5 pM induces a second wave of platelet aggregation in 35% of normal controls and 85% of leukemic patients, and this response is not altered by co-administration of CA."
adenosine diphosphate,"Adenosine diphosphate at 2.5 pM induces a second wave of platelet aggregation in 35% of normal controls and 20% of leukemic patients, and this response is not altered by co-administration of CA.","Entity: adenosine diphosphate. SMILES: Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O. Adenosine diphosphate at 2.5 pM induces a second wave of platelet aggregation in 35% of normal controls and 20% of leukemic patients, and this response is not altered by co-administration of CA."
alkaline phosphatase,Alkaline phosphatase is measured as a laboratory test at 6-month intervals in postoperative patients to monitor health status.,Entity: alkaline phosphatase. SMILES: CC(N)C(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O. Alkaline phosphatase is measured as a laboratory test at 6-month intervals in postoperative patients to monitor health status.
agar,"Agar is a solid nutrient medium that, when used to immediately dilute propolys alcohol extracts, eliminates the extract's inhibitory effect on microbial growth and allows for accurate antimicrobial activity estimation.","Entity: agar. SMILES: CO[C@H]1[C@@H](O)[C@@H](CO)OC(OC2C3CO[C@H]2[C@H](O)C(C)O3)[C@@H]1O. Agar is a solid nutrient medium that, when used to immediately dilute propolys alcohol extracts, eliminates the extract's inhibitory effect on microbial growth and allows for accurate antimicrobial activity estimation."
ammonium acetate,Ammonium acetate at 0.01 M (pH 6.5) is used as the buffer for preparing the standard inhibition curve in the Hansen zirconyl phosphate gel (Z-gel) radioimmunoassay (KIA) assay for CEA activity.,Entity: ammonium acetate. SMILES: CC(=O)[O-].[NH4+]. Ammonium acetate at 0.01 M (pH 6.5) is used as the buffer for preparing the standard inhibition curve in the Hansen zirconyl phosphate gel (Z-gel) radioimmunoassay (KIA) assay for CEA activity.
cobalt,"Cobalt is used as an adjunct to vincristine, actinomycin D, and cyclophosphamide in the treatment of endodermal sinus tumors in the pineal region.","Entity: cobalt. SMILES: [Co]. Cobalt is used as an adjunct to vincristine, actinomycin D, and cyclophosphamide in the treatment of endodermal sinus tumors in the pineal region."
vincristine,"Vincristine is administered as part of a combination chemotherapy regimen with actinomycin D, cyclophosphamide, and cobalt for the treatment of endodermal sinus tumors in the pineal region.","Entity: vincristine. SMILES: CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1. Vincristine is administered as part of a combination chemotherapy regimen with actinomycin D, cyclophosphamide, and cobalt for the treatment of endodermal sinus tumors in the pineal region."
Hydroxyproline,"The excretion ratio of hydroxyproline to creatinine in urine can be accurately measured using a half-hour fasting sample, with day-to-day variation of approximately 0.2 ± 0.2.","Entity: Hydroxyproline. SMILES: O=C(O)[C@@H]1C[C@@H](O)CN1. The excretion ratio of hydroxyproline to creatinine in urine can be accurately measured using a half-hour fasting sample, with day-to-day variation of approximately 0.2 ± 0.2."
Hydroxyproline,"Dietary intake of gelatin (up to 15 gm/day for two days) has minimal effect on the urinary excretion ratio of hydroxyproline to creatinine, whereas the 24-hour urinary test is significantly affected by gelatin intake as little as 5 gm/day.","Entity: Hydroxyproline. SMILES: O=C(O)[C@@H]1C[C@@H](O)CN1. Dietary intake of gelatin (up to 15 gm/day for two days) has minimal effect on the urinary excretion ratio of hydroxyproline to creatinine, whereas the 24-hour urinary test is significantly affected by gelatin intake as little as 5 gm/day."
Creatinine,"The excretion ratio of hydroxyproline to creatinine in urine can be accurately measured using a half-hour fasting sample, with day-to-day variation of approximately 0.2 ± 0.2.","Entity: Creatinine. SMILES: CN1CC(=O)N=C1N. The excretion ratio of hydroxyproline to creatinine in urine can be accurately measured using a half-hour fasting sample, with day-to-day variation of approximately 0.2 ± 0.2."
hydroxyproline,"Hydroxyproline excretion in a 30-minute period closely correlates with 24-hour hydroxyproline excretion in patients, with a correlation coefficient of 0.93 (p < 0.001).","Entity: hydroxyproline. SMILES: O=C(O)[C@@H]1C[C@@H](O)CN1. Hydroxyproline excretion in a 30-minute period closely correlates with 24-hour hydroxyproline excretion in patients, with a correlation coefficient of 0.93 (p < 0.001)."
creatinine,"Creatinine is used as a reference compound in the estimation of hydroxyproline excretion, with close correlation observed between hydroxyproline/creatinine and hydroxyproline/creatine excretion over 24 hours.","Entity: creatinine. SMILES: CN1CC(=O)N=C1N. Creatinine is used as a reference compound in the estimation of hydroxyproline excretion, with close correlation observed between hydroxyproline/creatinine and hydroxyproline/creatine excretion over 24 hours."
steroids,The glucocorticoid receptors in rat liver from tumor-bearing rats have slightly higher affinities than those in normal rat liver for all the steroids tested.,Entity: steroids. SMILES: CC(=O)N(C)[C@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](N(C)C)CC[C@@]4(C)[C@@H]3CC[C@]21C. The glucocorticoid receptors in rat liver from tumor-bearing rats have slightly higher affinities than those in normal rat liver for all the steroids tested.
rhodium(II) acetate,The rate of inactivation of enzymes by rhodium(II) acetate parallels its toxicity and antitumor activity.,Entity: rhodium(II) acetate. SMILES: CC(=O)[O-].CC(=O)[O-].[Rh+2]. The rate of inactivation of enzymes by rhodium(II) acetate parallels its toxicity and antitumor activity.
propionate,Rhodium(II) propionate is more effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate.,Entity: propionate. SMILES: CCC(=O)[O-]. Rhodium(II) propionate is more effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate.
rhodium(II) acetate,Proton nuclear magnetic resonance shows that rhodium(II) acetate breaks down its carboxylate cage upon reaction with cysteine.,Entity: rhodium(II) acetate. SMILES: CC(=O)[O-].CC(=O)[O-].[Rh+2]. Proton nuclear magnetic resonance shows that rhodium(II) acetate breaks down its carboxylate cage upon reaction with cysteine.
rhodium(II) propionate,Rhodium(II) propionate irreversibly inhibits enzymes with essential sulfhydryl groups in or near their active site.,Entity: rhodium(II) propionate. SMILES: CCC(=O)[O-].CCC(=O)[O-].[Rh+2]. Rhodium(II) propionate irreversibly inhibits enzymes with essential sulfhydryl groups in or near their active site.
rhodium(II) propionate,The rate of inactivation of enzymes by rhodium(II) propionate closely parallels its toxicity and antitumor activity.,Entity: rhodium(II) propionate. SMILES: CCC(=O)[O-].CCC(=O)[O-].[Rh+2]. The rate of inactivation of enzymes by rhodium(II) propionate closely parallels its toxicity and antitumor activity.
rhodium(II) propionate,Rhodium(II) propionate is more effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate.,Entity: rhodium(II) propionate. SMILES: CCC(=O)[O-].CCC(=O)[O-].[Rh+2]. Rhodium(II) propionate is more effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate.
methoxyacetate,Rhodium(II) methoxyacetate irreversibly inhibits enzymes that have essential sulfhydryl groups in or near their active site.,Entity: methoxyacetate. SMILES: COCC(=O)[O-]. Rhodium(II) methoxyacetate irreversibly inhibits enzymes that have essential sulfhydryl groups in or near their active site.
methoxyacetate,The rate of inactivation of enzymes by rhodium(II) methoxyacetate parallels its toxicity and antitumor activity.,Entity: methoxyacetate. SMILES: COCC(=O)[O-]. The rate of inactivation of enzymes by rhodium(II) methoxyacetate parallels its toxicity and antitumor activity.
methoxyacetate,Rhodium(II) methoxyacetate is less effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate or propionate.,Entity: methoxyacetate. SMILES: COCC(=O)[O-]. Rhodium(II) methoxyacetate is less effective at irreversibly inhibiting sulfhydryl-dependent enzymes than rhodium(II) acetate or propionate.
sulfhydryl,Enzymes with essential sulfhydryl groups in or near their active site are irreversibly inhibited by rhodium(II) carboxylates.,Entity: sulfhydryl. SMILES: [SH]. Enzymes with essential sulfhydryl groups in or near their active site are irreversibly inhibited by rhodium(II) carboxylates.
rhodium(II) acetate,Rhodium(II) acetate irreversibly inhibits enzymes that have essential sulfhydryl groups in or near their active site.,Entity: rhodium(II) acetate. SMILES: CC(=O)[O-].CC(=O)[O-].[Rh+2]. Rhodium(II) acetate irreversibly inhibits enzymes that have essential sulfhydryl groups in or near their active site.
cysteine,"Cysteine reacts with rhodium(II) acetate, causing breakdown of the carboxylate cage as detected by proton nuclear magnetic resonance.","Entity: cysteine. SMILES: N[C@@H](CS)C(=O)O. Cysteine reacts with rhodium(II) acetate, causing breakdown of the carboxylate cage as detected by proton nuclear magnetic resonance."
aminopyrine,Aminopyrine is used as a model substrate to quantitate drug-metabolizing activity in liver microsomes and lung homogenates.,Entity: aminopyrine. SMILES: Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C. Aminopyrine is used as a model substrate to quantitate drug-metabolizing activity in liver microsomes and lung homogenates.
benzo(a)pyrene,Benzo(a)pyrene is used as a model substrate to assess drug-metabolizing activity in liver microsomes and lung homogenates.,Entity: benzo(a)pyrene. SMILES: c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34. Benzo(a)pyrene is used as a model substrate to assess drug-metabolizing activity in liver microsomes and lung homogenates.
p-nitroanisole,p-nitroanisole serves as a model substrate for measuring drug-metabolizing activity in liver microsomes and lung homogenates.,Entity: p-nitroanisole. SMILES: COc1ccc([N+](=O)[O-])cc1. p-nitroanisole serves as a model substrate for measuring drug-metabolizing activity in liver microsomes and lung homogenates.
benzo(a)pyrene,"Benzo(a)pyrene undergoes oxidative metabolism in liver microsomes, producing intermediates whose visible spectra resemble those of several benzo(a)pyrene phenols.","Entity: benzo(a)pyrene. SMILES: c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34. Benzo(a)pyrene undergoes oxidative metabolism in liver microsomes, producing intermediates whose visible spectra resemble those of several benzo(a)pyrene phenols."
